Score1	Score2	Pearson
Weighted Cosine Correlation	VW3	-0.0625605933293125
Weighted Cosine Correlation	VW2	-0.00876239912604653
Weighted Cosine Correlation	VW1	-0.0262256255380607
Weighted Cosine Correlation	Taneja Divergence	-0.760131511462907
Weighted Cosine Correlation	Symmetric Chi Squared Distance	-0.0262256232073831
Weighted Cosine Correlation	Squared Chi Squared Distance	-0.790965254213119
Weighted Cosine Correlation	Square Root Cosine Correlation	0.804047621605532
Weighted Cosine Correlation	Sorensen Distance	-0.782363021415439
Weighted Cosine Correlation	Minokowski 3 Distance	-0.413757364238213
Weighted Cosine Correlation	Minokowski 4 Distance	-0.389289911585841
Weighted Cosine Correlation	Kumar Johnson Divergence	-0.0283234026873307
Weighted Cosine Correlation	Kumar Hassebrook Similarity	0.673143194320973
Weighted Cosine Correlation	Kullback Leibler Divergence	-0.618267413499168
Weighted Cosine Correlation	Soergel Distance	-0.812131824994684
Cosine Correlation	Spectral Similarity Score	1
Cosine Correlation	Weighted Cosine Correlation	0.629499788643729
Cosine Correlation	Cosine Correlation	1
Cosine Correlation	Stein Scott Similarity	0.553763430137905
Cosine Correlation	Stein Scott Similarity Nist	0.66703502611024
Cosine Correlation	Pearson Correlation	0.994240511869918
Cosine Correlation	Spearman Correlation	0.585269580110372
Cosine Correlation	Kendall Tau Correlation	0.58338219915408
Cosine Correlation	Euclidean Distance	-0.632958013099252
Cosine Correlation	Manhattan Distance	-0.9011388427392
Cosine Correlation	Jaccard Distance	-0.969205071882786
Cosine Correlation	DWT Correlation	0.851161823535906
Cosine Correlation	DFT Correlation	0.817315393181307
Cosine Correlation	Chebyshev Distance	-0.478820012830115
Cosine Correlation	Squared Euclidean Distance	-0.525629563909492
Cosine Correlation	Fidelity Similarity	0.893028171941016
Cosine Correlation	Matusita Distance	-0.884270774880041
Cosine Correlation	Squared-chord Distance	-0.893028171941263
Cosine Correlation	Harmonic mean Distance	0.91213972685061
Cosine Correlation	Pearson Chi Squared Distance	-0.116015083469134
Cosine Correlation	Neyman Chi Squared Distance	-0.349457196342349
Cosine Correlation	Probabilistic symmetric X2 Distance	-0.912139726850517
Cosine Correlation	Topsoe Distance	-0.907778792541162
Cosine Correlation	Chernoff Distance	-0.696526030031337
Cosine Correlation	Ruzicka Distance	-0.872781227001809
Cosine Correlation	Roberts Distance	-0.877764947224875
Cosine Correlation	Motyka Distance	0.901138842738887
Cosine Correlation	Canberra Distance	0.0745416042411193
Cosine Correlation	Canberra Metric	-0.503905539446473
