MZ	Intensity	Abundance
222.353372	812.552063	1
222.958476	1037.258789	1
226.985494	868.076843	1
228.875424	4502.525391	3
236.90819	848.962585	1
241.004548	2989.110107	2
241.01091	55901.02344	42
241.017272	878.291809	1
242.014294	1987.733643	1
242.669322	905.361633	1
242.916626	2379.136963	2
243.920431	952.37677	1
252.451577	858.454407	1
256.472254	827.348206	1
258.804405	2360.447021	2
258.884658	1176.891846	1
258.949202	3386.725586	3
258.952351	1026.557373	1
258.994082	1824.41626	1
258.998807	2431.767334	2
259.002745	5213.37793	4
259.009045	13447.40234	10
259.015345	34414.73828	26
259.021646	1343632.875	999
259.025584	41213.19141	31
259.028734	34306.81641	26
259.035036	13524.09082	10
259.038974	1136.136475	1
259.042125	5783.374023	4
259.045276	2567.332275	2
259.048426	1654.358398	1
259.051577	1547.379395	1
259.054728	1456.048584	1
259.057879	1303.751221	1
259.067333	1395.38623	1
259.094908	3708.873047	3
259.239949	2455.848877	2
260.017674	2307.080566	2
260.024804	64862.09375	48
260.031933	1736.238281	1
260.726508	836.868591	1
260.927062	2331.114746	2
261.025832	16701.26758	12
262.335834	746.173035	1
270.194581	853.135681	1
272.923716	1109.000977	1
272.95609	14513.96973	11
273.959097	881.851257	1
275.517201	778.117126	1
276.687345	843.354309	1
277.613978	853.835754	1
278.673552	771.043396	1
283.54503	750.223572	1
288.896655	2637.437256	2
290.515802	920.598206	1
292.619938	843.585266	1
295.005317	753.391174	1
295.176747	752.216003	1
298.282392	850.379089	1
305.79101	773.861389	1
313.152862	856.323425	1
316.97973	18962.8125	14
316.989326	882.983093	1
317.073579	891.699768	1
317.377807	927.844666	1
318.976561	9184.517578	7
318.983019	928.825623	1
319.270598	860.19928	1
319.952863	1204.612305	1
320.948862	3089.752686	2
321.950611	873.918396	1
322.883602	1756.357178	1
323.002019	1038.492676	1
326.842773	817.674377	1
328.043944	70331.75	52
328.049557	1843.907715	1
328.054047	1122.551758	1
329.047542	5304.584961	4
331.371546	807.206604	1
336.998035	5062.521484	4
344.9483	1054.864502	1
346.054849	10460.33496	8
347.186286	866.889954	1
348.917269	9033.177734	7
350.91445	2057.527588	2
353.943157	845.784973	1
355.219759	726.029236	1
356.585957	785.889465	1
356.924598	3357.132813	2
356.988306	16706.87305	12
358.922924	1191.254395	1
360.970471	1326.859619	1
368.92169	3432.723877	3
370.917815	1721.408691	1
373.345526	862.52655	1
376.098755	994.587585	1
378.970348	1233.509033	1
379.622106	773.565247	1
